Category, Name, Price
Oreo Specials,Scotch Oreo,80
Oreo Specials,Chocolate Oreo,90
Oreo Specials,Strawberry Oreo,80
Oreo Specials,Black Current Oreo,80
Oreo Specials,Vanilla Oreo,80
Oreo Specials,Pista Oreo,80
Oreo Specials,Kulfi Oreo,80
Oreo Specials,Pineapple Oreo,80
Oreo Specials,Banana Oreo,80
Oreo Specials,Mango Oreo,80
Oreo Specials,Chikku Oreo,80
Oreo Specials,Kitkat Oreo,90
Fresh Fruit Juice,Fresh Lime,30
Fresh Fruit Juice,Mosambi,70
Fresh Fruit Juice,Orange,70
Fresh Fruit Juice,Muskmelon,50
Fresh Fruit Juice,Watermelon,50
Fresh Fruit Juice,Pineapple,60
Fresh Fruit Juice,Grapes,60
Fresh Fruit Juice,Papaya,50
Vegitable Juice,Tomato,30
Vegitable Juice,Cucumber,40
Vegitable Juice,Carrot,70
Vegitable Juice,Beetroot,60
Vegitable Juice,Carrot and Beetroot,80
Vegitable Juice,Amla,60
Ice Cream Shake,Vanilla,70
Ice Cream Shake,Chocolate,80
Ice Cream Shake,Strawberry,70
Ice Cream Shake,Black Current,70
Ice Cream Shake,Pista,70
Ice Cream Shake,Kulfi,70
Ice Cream Shake,Mango,70
Ice Cream Shake,Butterscotch,70
Ice Cream Shake,Casata,70
Ice Cream Shake,Blue Berry,70
Cake Milk Shake,Brownie,90
Cake Milk Shake,Brownie Oreo,100
Cake Milk Shake,Red Velvet,90
Cake Milk Shake,Red Velvet Oreo,100
Cake Milk Shake,Lavender,90
Cake Milk Shake,Lavender Oreo,100
Cake Milk Shake With Ice Cream,Brownie,110
Cake Milk Shake With Ice Cream,Brownie Oreo,120
Cake Milk Shake With Ice Cream,Red Velvet,110
Cake Milk Shake With Ice Cream,Red Velvet Oreo,130
Cake Milk Shake With Ice Cream,Lavender,110
Cake Milk Shake With Ice Cream,Lavender Oreo,130
Fruit Milk Shake,Apple Shake,70
Fruit Milk Shake,Chikku Shake,80
Fruit Milk Shake,Pomegranate Shake,70
Fruit Milk Shake,Custard Apple Shake,80
Fruit Milk Shake,Butter Fruit Shake,80
Fruit Milk Shake,Red Banana Shake,60
Fruit Milk Shake,Mango Shake,70
Fruit Milk Shake,Muskmelon Shake,70
Fruit Milk Shake,Pappaya Shake,60
Fruit Milk Shake,Cherry Shake,70
Fruit Milk Shake,Watermelon Shake,60
Fruit Milk Shake,Pineapple Shake,70
Fruit Milk Shake,Grapes Shake,70
Fruit Milk Shake,Fig Shake,80
Fruit Milk Shake,Kulfi Shake,70
Fruit Milk Shake,Guava Shake,70
Choco Specials,Choco Mango,80
Choco Specials,Choco Custard Apple,80
Choco Specials,Choco Apple,80
Choco Specials,Choco Banana,70
Choco Specials,Choco Chikku,80
Choco Specials,Choco Pineapple,80
Choco Specials,Choco Dates,80
Choco Specials,Choco Papaya,70
Choco Specials,Choco Kiwi,90
Choco Specials,Choco Sharjah,80
Choco Specials,Choco Fig,80
Choco Specials,Choco Guava,80
Seasonal Drinks,Kiwi,90
Seasonal Drinks,Dragon Fruit,80
Seasonal Drinks,Strawberry,90
Seasonal Drinks,Jack Fruit,90
Lime Specials,Mango Lime,50
Lime Specials,Ginger Lime,40
Lime Specials,Mint Lime,40
Lime Specials,JalJeera Lime,40
Lime Specials,Melon Lime,50
Lime Specials,Carrot Lime,50
Lime Specials,Grape Lime,50
Lime Specials,Strawberry Lime,60
Lime Specials,Milk Lime,50
Lime Specials,Pineapple Lime,50
----------------------------------

